,county,state,percentage16_Donald_Trump,percentage16_Hillary_Clinton,total_votes16,votes16_Donald_Trump,votes16_Hillary_Clinton,percentage20_Donald_Trump,percentage20_Joe_Biden,total_votes20,votes20_Donald_Trump,votes20_Joe_Biden,lat,long,cases,deaths,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,VotingAgeCitizen,Income,IncomeErr,IncomePerCap,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment
1601,Leavenworth,KS,0.586,0.339,29676,17387,10064,0.592,0.381,36115,21378,13753,39.20183497,-95.03620809,2603,18,79359,42581,36778,6.8,79.2,8.4,0.4,1.5,0,59121,70022,2408,30170,975,9,12.6,37.8,19,21.7,10.2,11.4,81.4,11,0.3,2.1,1.8,3.3,22.6,34678,70.8,25.5,3.7,0,4.2
1157,Hamilton,TX,0.847,0.133,3609,3056,479,0.831,0.147,4347,3613,641,31.70470573,-98.11083887,206,5,8220,4062,4158,12,85.1,0.7,0.7,0.2,0,6304,46611,6707,26522,3521,16.1,23.8,29,18.9,19.9,18.7,13.4,71.6,16.9,0,6.1,0,5.4,19.1,3584,69.3,18.1,11.1,1.5,3.1
1010,Garrett,MD,0.79,0.175,12905,10189,2252,0.775,0.206,15045,11654,3098,39.52786077,-79.27355126,150,1,29516,14618,14898,1.1,96.6,0.6,0.1,0.4,0,23763,48174,2234,26303,1162,11.4,17,33.8,17.5,18.8,16.5,13.4,79.5,9.9,0.6,3.7,0.6,5.7,24.2,13937,74.6,16,9.3,0.2,4.8
2409,Riverside,CA,0.464,0.49,517200,240013,253215,0.447,0.536,722913,323026,387200,33.74314981,-115.9933578,68178,1319,2355002,1171711,1183291,48,36.6,6,0.4,6.1,0.3,1487322,60807,429,25700,191,15.6,21.3,29.4,21.4,24.6,11.4,13.2,77.2,12.9,1.3,1.6,1.7,5.2,33.1,978726,77.7,14.7,7.5,0.2,9.9
274,Brooks,GA,0.587,0.399,6268,3679,2504,0.6,0.393,7100,4260,2790,30.83922642,-83.58303423,553,26,15629,7531,8098,5.6,56.8,33.6,0,0.8,0,11757,34890,5889,20964,1463,23.6,40.8,27.1,16.6,23.5,16.8,16.1,82.1,9.7,0.6,0.7,2.3,4.7,24.2,5865,75.2,18.3,6.4,0.1,13.6
1283,Hot Spring,AR,0.685,0.263,11909,8153,3137,0.734,0.244,12503,9178,3053,34.31709259,-92.95396325,2297,37,33480,17294,16186,3.4,82.8,10.9,0.3,0.3,0,26167,40626,1975,20868,1583,15.8,19.7,30.4,17.9,22.2,13.8,15.7,84.3,11.8,0.6,1.4,0.5,1.4,26.1,13378,79.3,15.3,5.1,0.4,6.2
2378,Reno,KS,0.644,0.284,23448,15100,6670,0.659,0.316,27245,17948,8602,37.95230263,-98.08607292,2308,18,63360,31944,31416,9.1,84.7,2.7,0.5,0.5,0,47817,47897,1385,25267,843,14,20.2,31.4,19.1,23.5,10.6,15.4,82.4,9.1,0.3,2.5,2.4,3.4,17.5,29785,79.3,14.8,5.7,0.3,5
762,Denton,TX,0.577,0.375,293287,169175,110000,0.532,0.451,416610,221829,188023,33.20521901,-97.11691153,14978,177,781321,384390,396931,19.1,60.9,9.1,0.3,7.8,0.1,519933,80290,1119,37928,397,8.4,9.4,46,13.9,25.6,6.3,8.2,80.9,8.5,0.9,1.3,1.3,7.1,28.9,419189,82.7,11.6,5.5,0.2,4.5
1958,Montgomery,GA,0.749,0.238,3560,2668,847,0.746,0.247,3966,2960,979,32.17201038,-82.53527476,377,10,8962,4593,4369,6.5,64.5,26,0.2,0.3,0,6655,40308,2678,20114,1479,19.5,27,29.1,19.9,19.7,14.9,16.4,83.7,11.2,0.1,2.3,1.7,1,21.3,3511,79.1,15.2,5.7,0,6.6
1440,Jones,IA,0.571,0.377,10011,5718,3779,0.599,0.384,10965,6572,4213,42.12118609,-91.13139641,590,4,20468,10528,9940,1.8,94.4,2.5,0.4,0.1,0,15880,58391,5596,29653,1718,9.1,10.5,32.2,17,20,10.7,20.1,81.6,7.7,0.3,3.8,0.4,6.3,24.6,9671,77.2,12,10.1,0.7,4.2
2348,Rains,TX,0.846,0.134,4630,3919,619,0.852,0.139,6044,5147,841,32.87109387,-95.79232691,97,5,11246,5722,5524,8.7,85.8,1.5,1,0.1,0,8630,48308,4901,23976,1572,13.1,17.6,27,16.7,23.1,16.9,16.4,80.7,11.8,0,2.1,1.8,3.5,34.9,4601,74,11.7,14.3,0,5.7
1952,Montague,TX,0.875,0.103,8604,7526,885,0.878,0.112,9812,8613,1097,33.67521893,-97.72500958,299,6,19406,9512,9894,10.7,86.3,0.2,0.3,0.1,0,14259,46592,4160,26278,1905,15.5,21.7,26,15.1,22.8,18.9,17.3,83,10.3,0.6,1.6,0.4,4,24.3,7938,81.5,11.3,6.8,0.5,6.6
3016,Whitley,KY,0.822,0.15,13769,11312,2067,0.819,0.166,15347,12567,2552,36.75700531,-84.14541217,882,7,36027,17686,18341,1.2,96.1,1.2,0.3,0.1,0,27075,34103,3043,18463,1591,25.2,32.9,31,17.6,25.9,9.2,16.3,81.6,11.1,0.6,4.1,0.6,2,20.6,12794,73.4,22.1,4.6,0,9.2
1710,Luce,MI,0.682,0.264,2576,1756,681,0.68,0.272,3101,2109,842,46.47227431,-85.54471223,78,1,6406,3753,2653,3.2,78.2,6.4,6.3,0.2,0,5276,41221,2374,19442,1386,19.4,36.3,29.5,25.9,23.4,8.4,12.9,76.4,12.8,0,4,1.9,4.9,13.6,2064,72.9,23.4,3.4,0.3,11.8
1977,Moody,SD,0.59,0.356,2930,1729,1042,0.609,0.368,3206,1951,1179,44.02266214,-96.67081159,240,3,6496,3312,3184,3.6,77.6,0.6,10.8,2.1,0,4720,56233,3006,27774,2984,15.9,23.4,33.8,16.8,19.1,14.1,16.1,78.7,5.5,0,6.9,2.1,6.8,19.8,3307,71.2,18.8,9.6,0.4,4.9
1090,Grays Harbor,WA,0.497,0.429,23783,11818,10194,0.519,0.455,36551,18960,16623,47.14003705,-123.7820567,726,11,71454,36786,34668,9.8,79.9,1,4.1,1.6,0.3,54694,45483,2355,24081,827,16,21.7,28.5,23.6,22.9,11.5,13.5,76.9,12.5,0.9,2.2,1.1,6.4,25.8,27104,69.7,23.1,6.9,0.3,10.1
1588,Lawrence,IL,0.748,0.213,6039,4517,1288,0.76,0.222,6379,4849,1414,38.71987914,-87.72884035,379,8,16457,9034,7423,3.8,84.6,8.6,0.3,0.4,0,13094,44504,3076,21072,1126,16.4,25.8,30.8,21.9,17.7,10.2,19.4,80.9,9.9,0.3,2.7,1.2,5,19,6361,78.6,11.7,9.4,0.2,5.4
2206,Perry,IL,0.702,0.251,9706,6816,2433,0.726,0.259,10060,7305,2609,38.08510853,-89.36856219,507,16,21467,11832,9635,3,86.3,8.7,0.3,0.6,0,17213,45864,3207,23929,2316,14.7,19.5,24.1,20.8,18,16.8,20.3,84.8,11.2,0.4,1,0.3,2.3,25,8236,80,15.3,4.7,0,6.7
